,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
281,kaitangata,-46.2817,169.8464,55.0,60,55,11.01,NZ,1615090876
282,klaksvik,62.2266,-6.589,39.2,100,75,6.91,FO,1615090876
283,khani,41.9563,42.9566,46.4,93,90,14.97,GE,1615090876
284,paracuru,-3.41,-39.0306,81.0,77,100,20.0,BR,1615090876
285,ylivieska,64.0833,24.55,23.0,89,100,4.0,FI,1615090877
286,ilulissat,69.2167,-51.1,21.2,86,90,11.5,GL,1615090877
287,sydney mines,-33.8679,151.2073,75.99,73,40,3.0,AU,1615090749
288,san patricio,13.3034,-4.8956,82.09,18,73,0.49,ML,1615090847
289,paciran,-6.8767,112.3761,83.77,72,70,8.7,ID,1615090877
290,namatanai,-3.6667,152.4333,83.03,74,100,4.56,PG,1615090877
291,robertsport,6.7533,-11.3686,78.76,90,84,5.14,LR,1615090878
292,ballitoville,-29.539,31.2144,73.99,83,90,4.61,ZA,1615090878
293,nikolayevsk-na-amure,53.1406,140.73,6.91,85,0,10.02,RU,1615090878
294,amapa,1.0,-52.0,70.41,98,99,1.61,BR,1615090878
295,ryotsu,38.0833,138.4333,39.2,56,20,11.5,JP,1615090878
296,ostrovnoy,68.0531,39.5131,3.36,93,99,12.95,RU,1615090878
297,norden,53.6,7.2,37.99,71,100,7.0,DE,1615090879
298,korop,51.5664,32.9586,21.13,94,68,15.7,UA,1615090879
299,pangoa,-12.1167,-73.0,67.19,96,70,1.66,PE,1615090879
300,portland,45.5234,-122.6762,46.4,66,1,4.61,US,1615090838
301,pisco,-13.7,-76.2167,73.4,78,0,13.8,PE,1615090879
302,mapiripan,2.8892,-72.1256,76.01,85,100,4.14,CO,1615090879
303,lompoc,34.6391,-120.4579,51.8,82,40,9.22,US,1615090656
304,cayenne,4.9333,-52.3333,79.0,89,75,12.66,GF,1615090879
305,torbay,47.6666,-52.7314,30.99,80,90,16.11,CA,1615090880
306,altamira,-3.2033,-52.2064,73.0,97,100,3.24,BR,1615090880
307,bemidji,47.4736,-94.8803,34.0,51,1,12.66,US,1615090880
308,luleburgaz,41.4039,27.3592,37.4,93,75,13.8,TR,1615090588
309,pevek,69.7008,170.3133,-22.16,83,77,12.21,RU,1615090880
310,bonthe,7.5264,-12.505,77.58,91,99,2.57,SL,1615090880
311,kysyl-syr,63.8986,122.7617,-2.29,91,100,7.23,RU,1615090880
312,vikhorevka,56.1201,101.1636,30.2,43,100,6.71,RU,1615090881
313,souillac,-20.5167,57.5167,78.8,94,75,11.5,MU,1615090881
314,axim,4.8699,-2.2405,79.29,87,98,7.47,GH,1615090881
315,turayf,31.6725,38.6637,41.0,81,0,4.61,SA,1615090881
316,bonito,-21.1211,-56.4819,69.55,83,4,1.66,BR,1615090745
317,bengkulu,-3.8004,102.2655,75.45,83,100,6.38,ID,1615090882
318,sioux lookout,42.7333,-96.2336,48.0,81,1,18.41,US,1615090882
319,clonakilty,51.6231,-8.8706,33.8,80,20,2.3,IE,1615090882
320,laguna,38.421,-121.4238,53.01,58,1,3.44,US,1615090856
321,ketchikan,55.3422,-131.6461,39.2,75,90,7.38,US,1615090882
322,caraz,-9.0486,-77.81,62.91,60,100,1.68,PE,1615090882
323,heide,54.2,9.1,37.99,76,100,3.0,DE,1615090882
324,aguimes,27.9054,-15.4461,62.6,72,40,20.71,ES,1615090883
325,joshimath,30.5667,79.5667,56.35,38,98,3.69,IN,1615090883
326,oranjestad,12.524,-70.027,80.6,74,20,19.57,AW,1615090883
327,itarantim,-15.6597,-40.0656,69.64,94,14,2.98,BR,1615090883
328,sept-iles,50.2001,-66.3821,23.0,63,40,11.5,CA,1615090805
329,saint-joseph,-21.3667,55.6167,80.6,83,75,34.52,RE,1615090883
330,hailar,49.2,119.7,18.41,93,0,9.22,CN,1615090884
331,santa maria,17.486,120.4348,86.07,54,0,7.63,PH,1615090884
332,oussouye,12.485,-16.5469,68.0,88,0,4.61,SN,1615090884
333,posse,-14.0931,-46.3694,69.67,87,44,2.33,BR,1615090678
334,lobito,-12.3481,13.5456,78.71,79,100,4.79,AO,1615090884
335,alyangula,-13.8483,136.4192,91.4,58,43,5.75,AU,1615090884
336,soddy-daisy,35.2359,-85.1908,44.6,44,1,6.91,US,1615090884
337,grenville,12.1167,-61.6167,78.8,83,20,20.71,GD,1615090884
338,bhadrachalam,17.6667,80.8833,91.13,36,0,1.01,IN,1615090885
339,nyurba,63.2842,118.3319,12.27,95,97,2.95,RU,1615090885
340,atambua,-9.1061,124.8925,82.44,72,38,5.84,ID,1615090885
341,ponta do sol,38.7333,-28.2667,56.41,100,58,16.26,PT,1615090885
342,tala,30.6803,30.9429,46.76,91,0,4.32,EG,1615090885
343,havelock,34.8791,-76.9013,41.0,86,1,0.89,US,1615090886
344,kavaratti,10.5669,72.642,82.35,67,0,8.66,IN,1615090886
345,borogontsy,62.6683,131.1683,-11.63,86,68,3.8,RU,1615090886
346,kyzyl-suu,42.3414,78.0056,38.03,64,100,1.88,KG,1615090886
347,nemuro,43.3236,145.575,28.4,43,75,11.5,JP,1615090886
348,kloulklubed,7.0419,134.2556,86.0,66,75,8.05,PW,1615090887
349,athabasca,54.7169,-113.2854,24.8,74,48,2.3,CA,1615090887
350,mayumba,-3.432,10.6554,76.17,81,100,1.95,GA,1615090887
351,okhotsk,59.3833,143.3,-6.47,82,0,13.65,RU,1615090887
352,oyama,36.3,139.8,53.01,46,75,17.27,JP,1615090888
353,novo aripuana,22.7847,-82.2251,69.8,100,75,10.36,CU,1615090888
354,mineiros,-17.5694,-52.5511,67.53,95,58,2.01,BR,1615090888
355,alim,9.5649,122.4876,86.56,59,47,13.85,PH,1615090888
356,edzell,56.8095,-2.6549,39.0,82,100,1.99,GB,1615090888
357,tigre,-34.426,-58.5796,69.01,82,0,5.75,AR,1615090810
358,saint-francois,46.4154,3.9054,33.01,100,20,3.44,FR,1615090889
359,eyl,7.9803,49.8164,73.06,80,23,13.27,SO,1615090889
360,pital,2.2665,-75.8044,68.38,77,94,3.98,CO,1615090889
361,vardo,70.3705,31.1107,26.42,97,100,21.09,NO,1615090889
362,delijan,33.9905,50.6838,46.65,50,0,4.61,IR,1615090889
363,maniitsoq,65.4167,-52.9,27.25,92,98,6.06,GL,1615090890
364,crixas,-14.5489,-49.9692,71.8,89,90,2.48,BR,1615090890
365,tura,25.5198,90.2201,82.24,44,0,3.85,IN,1615090701
366,leningradskiy,69.3833,178.4167,-17.73,77,6,5.03,RU,1615090890
367,port hedland,-7.0349,29.7638,73.06,74,100,8.41,CD,1615090871
368,mogadishu,2.0371,45.3438,77.0,69,40,8.05,SO,1615090890
369,nara,34.6851,135.8049,54.0,47,75,5.75,JP,1615090890
370,hofn,64.2539,-15.2082,38.28,71,90,4.99,IS,1615090890
371,tigil,57.8,158.6667,-12.08,87,100,8.43,RU,1615090891
372,nanortalik,60.1432,-45.2371,32.83,94,100,5.79,GL,1615090891
373,sao joao da barra,20.5113,76.2129,82.98,18,0,7.23,IN,1615090891
374,klyuchevskiy,53.5317,119.4519,11.95,91,43,3.96,RU,1615090891
375,fujin,47.26,132.0322,18.09,89,25,8.52,CN,1615090891
376,taltal,-25.4,-70.4833,66.79,79,27,1.05,CL,1615090739
377,petropavlovsk-kamchatskiy,53.0452,158.6483,14.0,29,0,22.37,RU,1615090891
378,vrangel,42.7297,133.0839,26.89,87,29,7.87,RU,1615090892
379,comodoro rivadavia,-13.6631,-59.7858,68.68,95,90,1.3,BR,1615090892
380,lubaczow,50.157,23.1234,32.0,73,0,4.0,PL,1615090892
381,emerald,-23.5333,148.1667,96.8,28,40,12.66,AU,1615090892
382,lago da pedra,8.2667,-12.15,74.26,96,96,1.66,SL,1615090892
383,ravar,31.2656,56.8055,53.74,40,0,1.63,IR,1615090631
384,kingston,17.997,-76.7936,77.0,78,20,6.91,JM,1615090893
385,neuquen,-38.9516,-68.0591,78.8,25,0,6.91,AR,1615090893
386,leh,34.1667,77.5833,21.67,83,89,1.88,IN,1615090893
387,mwinilunga,-11.7358,24.4293,59.52,96,100,4.09,ZM,1615090893
388,ahipara,-35.1667,173.1667,68.16,60,1,15.95,NZ,1615090893
389,belyy yar,55.8402,32.9419,27.14,97,100,17.07,RU,1615090893
390,shahrud,36.4182,54.9763,39.13,69,0,1.19,IR,1615090638
391,lakselv,70.0513,24.9718,26.6,86,75,26.46,NO,1615090894
392,apele vii,1.8333,33.2667,67.24,72,34,2.21,UG,1615090894
393,zhigansk,66.7697,123.3711,-12.12,89,100,13.62,RU,1615090894
394,caravelas,-17.7125,-39.2481,76.91,87,27,9.82,BR,1615090894
395,tupelo,34.2576,-88.7034,44.6,49,1,3.44,US,1615090743
396,nenjiang,49.1833,125.2167,18.63,91,0,10.13,CN,1615090626
397,fairlie,55.756,-4.8556,34.0,93,43,2.3,GB,1615090894
398,kulhudhuffushi,6.6221,73.07,82.27,65,0,9.13,MV,1615090894
399,kinablangan,7.6947,126.5503,81.41,73,94,8.19,PH,1615090895
400,arlit,18.7369,7.3853,72.84,18,90,5.17,NE,1615090895
401,weyburn,49.6668,-103.8511,39.2,81,100,11.5,CA,1615090895
402,rosarito,32.3333,-117.0333,55.4,88,75,6.91,MX,1615090895
403,fomboni,-12.28,43.7425,82.63,75,100,13.27,KM,1615090895
404,nabire,-3.3667,135.4833,75.13,92,100,1.48,ID,1615090895
405,bilibino,68.0546,166.4372,-15.23,85,100,6.96,RU,1615090896
406,sambava,-14.2667,50.1667,76.55,70,100,3.98,MG,1615090896
407,pinsk,52.1229,26.0951,30.7,93,100,20.02,BY,1615090725
408,bogovarovo,58.9785,47.0246,-4.95,92,93,4.92,RU,1615090896
409,tambura,5.6,27.4667,65.26,33,26,1.9,SS,1615090896
410,constitucion,-35.3333,-72.4167,58.17,86,0,6.02,CL,1615090856
411,honningsvag,70.9821,25.9704,30.29,87,90,20.13,NO,1615090896
412,chingirlau,51.095,54.0814,20.16,97,100,15.01,KZ,1615090896
413,lagoa,39.05,-27.9833,60.44,95,48,17.94,PT,1615090897
414,mercedes,-34.6515,-59.4307,62.01,96,0,6.85,AR,1615090897
415,bathsheba,13.2167,-59.5167,77.0,73,40,21.85,BB,1615090897
416,bardiyah,31.7561,25.0865,60.12,43,0,7.94,LY,1615090897
417,taoudenni,22.6783,-3.9836,66.74,36,0,9.62,ML,1615090898
418,surt,31.2089,16.5887,59.31,82,0,4.99,LY,1615090898
419,santa cruz,17.486,120.4348,86.29,54,2,6.96,PH,1615090898
420,ekhabi,53.5102,142.9671,-1.16,86,0,15.17,RU,1615090898
421,awbari,26.5921,12.7805,58.37,31,0,5.68,LY,1615090898
422,mandalgovi,45.7625,106.2708,35.65,67,4,10.25,MN,1615090898
423,san fernando,13.3034,-4.8956,79.81,46,19,7.34,ML,1615090621
424,kapit,2.0167,112.9333,86.92,62,87,3.06,MY,1615090898
425,svejbaek,56.1325,9.6329,37.99,87,75,21.85,DK,1615090898
426,sandwick,60.0,-1.25,41.0,87,90,6.91,GB,1615090898
427,ondjiva,-17.0667,15.7333,64.98,68,26,4.07,AO,1615090899
428,basna,21.2833,82.8167,86.59,12,11,3.89,IN,1615090899
429,spearfish,44.4908,-103.8594,57.99,26,1,18.41,US,1615090884
430,bryant,34.5959,-92.4891,42.8,61,1,1.36,US,1615090899
431,ler,8.3018,30.1418,75.38,21,69,2.37,SS,1615090899
432,fort william,52.6517,6.3861,33.01,90,0,4.27,NL,1615090899
433,namibe,-15.1961,12.1522,74.52,88,39,7.72,AO,1615090900
434,almazar,40.3217,69.0106,42.8,70,90,11.18,UZ,1615090900
435,port blair,-7.0349,29.7638,73.06,74,100,8.41,CD,1615090834
436,pangnirtung,66.1451,-65.7125,0.37,85,100,3.24,CA,1615090900
437,nurota,40.5614,65.6886,37.4,93,90,9.22,UZ,1615090900
438,iskateley,67.6803,53.1512,-16.65,89,100,3.91,RU,1615090900
439,puerto madero,36.5939,-6.233,55.4,94,20,4.59,ES,1615090852
440,avila,40.5833,-5.0,37.4,93,13,3.65,ES,1615090901
441,boissevain,49.2306,-100.0559,43.0,100,1,19.57,CA,1615090901
442,qom,34.6401,50.8764,50.47,45,0,1.52,IR,1615090901
443,ballina,-28.8667,153.5667,78.8,65,40,11.5,AU,1615090901
444,port shepstone,-7.0349,29.7638,73.06,74,100,8.41,CD,1615090871
445,vila velha,42.0304,-8.1588,46.0,85,4,5.01,PT,1615090901
446,snasa,64.2457,12.3778,18.23,90,57,5.95,NO,1615090902
447,redlands,34.0556,-117.1825,57.2,62,1,6.91,US,1615090902
448,yar-sale,66.8333,70.8333,-11.88,90,96,8.01,RU,1615090902
449,guerrero negro,17.6667,-100.0,66.78,63,1,6.38,MX,1615090902
450,portsoy,57.6814,-2.6896,41.0,87,75,16.11,GB,1615090902
451,tevriz,57.509,72.4042,12.7,96,100,8.03,RU,1615090876
452,tezu,27.9167,96.1667,80.83,19,62,3.56,IN,1615090902
453,rzhev,56.2624,34.3282,25.75,97,100,19.19,RU,1615090902
454,karratha,-20.7377,116.8463,90.18,49,0,12.1,AU,1615090902
455,challakere,14.3167,76.65,82.53,33,0,6.87,IN,1615090903
456,roebourne,-20.7833,117.1333,91.65,45,0,11.03,AU,1615090903
457,coihaique,-45.5752,-72.0662,48.25,79,8,8.32,CL,1615090703
458,sur,22.5667,59.5289,77.95,65,0,13.78,OM,1615090903
459,banda aceh,25.4833,80.3333,88.52,12,0,8.99,IN,1615090903
460,moindou,-21.6924,165.677,84.2,58,0,11.5,NC,1615090903
461,lodwar,3.1191,35.5973,79.88,38,0,1.66,KE,1615090903
462,gisborne,-38.6533,178.0042,73.99,36,77,4.0,NZ,1615090874
463,pasighat,28.0667,95.3333,79.45,33,21,1.74,IN,1615090904
464,daura,11.5538,11.4085,71.06,20,81,10.8,NG,1615090904
465,garowe,8.4054,48.4845,64.74,66,16,3.89,SO,1615090808
466,camopi,3.1655,-52.3158,72.0,98,90,1.61,GF,1615090904
467,acapulco,16.8634,-99.8901,78.8,78,1,2.3,MX,1615090904
468,bonnyville,54.2668,-110.735,33.8,64,20,4.61,CA,1615090905
469,zamosc,50.7231,23.252,33.8,69,90,18.41,PL,1615090644
470,bambamarca,-6.6833,-78.5333,54.19,82,93,1.52,PE,1615090905
471,san juan,13.3034,-4.8956,82.09,18,73,0.49,ML,1615090847
472,vila franca do campo,42.0304,-8.1588,46.0,85,4,5.01,PT,1615090905
473,touros,-5.1989,-35.4608,75.2,94,40,3.44,BR,1615090905
474,behshahr,36.6923,53.5526,44.6,65,0,2.3,IR,1615090906
475,san pedro,13.3034,-4.8956,82.09,18,73,0.49,ML,1615090906
476,yacuiba,-22.038,-63.6797,70.5,64,12,3.62,BO,1615090906
477,kota belud,25.1833,75.8333,86.52,18,0,3.8,IN,1615090815
478,dubbo,-32.25,148.6167,87.8,30,40,12.66,AU,1615090906
479,krasnokamensk,50.0979,118.0369,17.96,90,0,5.79,RU,1615090906
480,anloga,5.7947,0.8973,82.4,89,40,8.05,GH,1615090906
481,grindavik,63.8424,-22.4338,41.0,81,75,3.44,IS,1615090906
482,galle,6.0367,80.217,83.41,67,0,1.14,LK,1615090907
483,san miguel,13.3034,-4.8956,79.81,46,19,7.34,ML,1615090621
484,narsaq,60.9167,-46.05,42.8,31,75,13.8,GL,1615090907
485,tuatapere,-46.1333,167.6833,52.0,80,55,18.01,NZ,1615090907
486,santiago,-33.4569,-70.6483,68.0,63,0,1.14,CL,1615090880
487,kalamazoo,42.2506,-85.55,26.6,54,1,5.75,US,1615090907
488,majene,-3.5403,118.9707,84.36,70,44,4.0,ID,1615090907
489,san carlos de bariloche,13.3034,-4.8956,82.09,18,73,0.49,ML,1615090906
490,beira,-19.8436,34.8389,78.01,94,20,3.56,MZ,1615090908
491,divnomorskoye,44.5011,38.1353,31.77,84,0,11.14,RU,1615090908
492,sechura,-5.5569,-80.8222,78.62,66,65,9.31,PE,1615090908
493,clyde river,41.3042,-82.9752,30.0,64,0,6.87,US,1615090908
494,port hardy,-7.0349,29.7638,73.06,74,100,8.41,CD,1615090871
495,tara,56.8944,74.371,8.53,95,89,9.66,RU,1615090908
496,flinders,-34.5833,150.8552,80.01,58,44,7.0,AU,1615090908
497,gulfport,30.3674,-89.0928,55.4,40,1,5.75,US,1615090845
498,gwadar,25.1216,62.3254,74.8,66,26,15.23,PK,1615090908
499,paramonga,-10.6667,-77.8333,72.32,79,100,6.49,PE,1615090908
500,licata,37.1071,13.9461,46.4,81,42,4.61,IT,1615090908
501,bloomington,44.8408,-93.2983,37.4,55,1,6.91,US,1615090909
502,savalou,7.9281,1.9756,79.56,79,100,5.39,BJ,1615090909
503,pilar,-9.5972,-35.9567,73.4,100,0,4.61,BR,1615090909
504,les cayes,42.8108,0.7105,43.0,97,43,4.7,ES,1615090909
505,barentu,15.1139,37.5928,62.11,86,30,5.37,ER,1615090909
506,tabas,33.5959,56.9244,54.39,40,0,3.31,IR,1615090910
507,putina,-15.4667,-69.4333,43.18,77,40,5.14,PE,1615090910
508,aykhal,66.0,111.5,7.02,92,99,7.54,RU,1615090910
509,kizukuri,40.8061,140.3861,37.99,47,40,11.5,JP,1615090910
510,haines junction,59.2286,-135.4441,37.4,86,75,0.92,US,1615090910
511,nuuk,64.1835,-51.7216,30.2,86,90,11.5,GL,1615090887
512,chipinge,-20.1883,32.6236,58.62,100,7,1.59,ZW,1615090911
513,martapura,-3.4167,114.85,80.6,83,75,13.8,ID,1615090911
514,vanimo,-2.6741,141.3028,83.19,77,100,9.35,PG,1615090911
515,korla,41.7597,86.1469,47.35,51,20,4.61,CN,1615090813
516,iwanai,42.9744,140.5089,28.17,86,91,10.09,JP,1615090911
517,harper,4.375,-7.7169,78.22,85,100,5.59,LR,1615090630
518,waingapu,-9.6567,120.2641,84.97,67,16,5.3,ID,1615090912
519,belmonte,-15.8631,-38.8828,77.0,83,20,4.61,BR,1615090912
520,cairns,-16.9167,145.7667,87.01,70,40,9.22,AU,1615090912
521,necochea,-38.5473,-58.7368,63.0,70,0,8.99,AR,1615090687
522,caluquembe,-13.7833,14.6833,59.18,74,98,1.12,AO,1615090912
523,champasak,14.75,106.0,87.8,51,20,11.5,LA,1615090912
524,ronneby,56.21,15.276,39.2,87,90,14.97,SE,1615090912
525,touba,8.2833,-7.6833,72.1,80,100,3.2,CI,1615090912
526,livingston,55.9029,-3.5226,39.2,81,0,9.22,GB,1615090913
527,vila,42.0304,-8.1588,46.0,85,4,5.01,PT,1615090913
528,kashi,39.4547,75.9797,46.4,36,75,8.95,CN,1615090913
529,porto belo,41.1496,-8.611,48.99,93,75,5.75,PT,1615090717
530,kirakira,-10.4544,161.9205,83.26,76,100,6.44,SB,1615090678
531,trincomalee,8.5711,81.2335,82.67,75,99,9.86,LK,1615090636
532,tukrah,32.5341,20.5791,56.64,67,0,3.02,LY,1615090913
533,juegang,32.3174,121.1855,45.0,94,100,1.01,CN,1615090914
534,mitu,1.1983,-70.1733,72.93,96,100,1.28,CO,1615090914
535,satipo,-11.2522,-74.6386,69.87,82,100,2.01,PE,1615090914
536,bongandanga,1.5,21.05,68.85,93,99,3.33,CD,1615090914
537,olafsvik,64.8945,-23.7142,39.9,90,72,2.26,IS,1615090914
538,palmer,42.1584,-72.3287,21.99,49,20,5.75,US,1615090914
539,jaca,42.569,-0.5499,37.0,93,50,2.86,ES,1615090914
540,abu samrah,24.6,72.7,69.1,44,25,6.11,IN,1615090759
541,bradut,46.1333,25.6167,21.0,75,1,1.01,RO,1615090915
542,matara,5.9485,80.5353,84.69,63,1,3.4,LK,1615090915
543,sarai,53.7458,41.0213,8.91,94,19,11.95,RU,1615090915
544,naze,28.3667,129.4833,68.0,77,75,3.44,JP,1615090915
545,kudahuvadhoo,2.6708,72.8944,82.44,72,2,11.79,MV,1615090915
546,pavilosta,56.8879,21.1859,33.8,93,90,4.61,LV,1615090915
547,kailua,21.4022,-157.7394,75.2,68,90,12.66,US,1615090915
548,srednekolymsk,67.45,153.6833,-9.47,86,100,17.6,RU,1615090916
549,kemise,10.7167,39.8667,61.52,33,99,2.86,ET,1615090916
550,hjorring,57.4642,9.9823,42.8,81,90,23.02,DK,1615090916
551,sao gabriel da cachoeira,20.5113,76.2129,82.98,18,0,7.23,IN,1615090916
552,sitka,57.0531,-135.33,42.8,56,90,12.66,US,1615090916
553,mahajanga,-15.7167,46.3167,77.0,94,20,4.61,MG,1615090917
554,sarab,38.6066,44.9883,36.72,67,100,4.43,IR,1615090917
555,jijiga,9.35,42.8,58.55,31,51,12.19,ET,1615090917
556,jumla,29.2747,82.1838,57.52,32,31,3.87,NP,1615090917
557,katsuura,35.1333,140.3,48.99,49,81,1.99,JP,1615090917
558,inza,53.8533,46.3586,5.95,94,70,4.63,RU,1615090917
559,pathein,16.7833,94.7333,94.68,18,0,7.92,MM,1615090918
560,asfi,32.2994,-9.2372,55.65,85,1,3.11,MA,1615090758
561,chlorakas,34.8042,32.4083,48.2,87,40,8.05,CY,1615090918
562,salinopolis,-0.6136,-47.3561,78.49,85,100,10.67,BR,1615090736
563,zandvoort,52.3749,4.5341,34.0,93,75,2.3,NL,1615090918
